iter	Logloss
0	0.6922763132
1	0.6914887344
2	0.6907761543
3	0.6901267698
4	0.6895547657
5	0.6889879528
6	0.6884779595
7	0.6880481302
8	0.6876319888
9	0.6872547208
10	0.6869284403
11	0.6866291896
12	0.6863459348
13	0.6860990145
14	0.6859020233
15	0.6857113152
16	0.685486592
17	0.6853116129
18	0.6851352425
19	0.6849840024
20	0.6848291394
21	0.6847082325
22	0.6846064971
23	0.6844716569
24	0.6843800699
25	0.6842716176
26	0.6841925233
27	0.6841170915
28	0.6840384532
29	0.6839569887
30	0.6838847674
31	0.6838210057
32	0.6837623162
33	0.6836876218
34	0.6836431939
35	0.6835840954
36	0.6835339198
37	0.68348937
38	0.6834389318
39	0.6833911856
40	0.6833347871
41	0.6833027873
42	0.6832566939
43	0.6832263523
44	0.6831920904
45	0.6831602789
46	0.6831173727
47	0.6830863206
48	0.6830612137
49	0.6830406296
50	0.6829967925
51	0.6829564676
52	0.6829354849
53	0.682911081
54	0.6828828422
55	0.6828612156
56	0.6828363509
57	0.6828094534
58	0.6827881132
59	0.6827566391
60	0.6827194914
61	0.6827028966
62	0.682677192
63	0.6826505133
64	0.6826235416
65	0.6826028615
66	0.6825850952
67	0.6825689307
68	0.6825493657
69	0.6825318607
70	0.6825145957
71	0.6824961005
72	0.6824758731
73	0.6824603409
74	0.6824233015
75	0.6824098088
76	0.6823946198
77	0.6823788556
78	0.6823672994
79	0.6823525941
80	0.6823313082
81	0.6823173633
82	0.6823016337
83	0.6822881857
84	0.6822745775
85	0.6822579466
86	0.6822498144
87	0.6822196171
88	0.6822091453
89	0.6821915694
90	0.6821780584
91	0.6821671079
92	0.6821533553
93	0.6821355727
94	0.6821191029
95	0.6821100122
96	0.6821020067
97	0.6820885614
98	0.6820746898
99	0.6820639207
100	0.6820531458
101	0.6820430304
102	0.6820266612
103	0.6820133164
104	0.6820048876
105	0.6819942546
106	0.6819818018
107	0.6819605772
108	0.681952537
109	0.6819432888
110	0.6819352183
111	0.6819254878
112	0.681918149
113	0.6819055543
114	0.6818977717
115	0.6818835562
116	0.6818696235
117	0.6818560836
118	0.6818464405
119	0.6818406047
120	0.6818306419
121	0.6818163295
122	0.6818077899
123	0.681800894
124	0.6817934296
125	0.6817766191
126	0.6817658805
127	0.6817395579
128	0.6817298776
129	0.6817232437
130	0.6817168096
131	0.6817069871
132	0.6816985366
133	0.6816858597
134	0.681676641
135	0.6816667336
136	0.6816512658
137	0.6816433913
138	0.6816287819
139	0.6816223304
140	0.6816095426
141	0.6816001901
142	0.6815915732
143	0.6815730579
144	0.6815664404
145	0.6815543497
146	0.6815439496
147	0.6815392869
148	0.6815304448
149	0.6815245691
150	0.6815163326
