iter	Logloss
151	0.6815084582
152	0.6814999023
153	0.6814868571
154	0.6814804461
155	0.6814720765
156	0.6814621007
157	0.681458466
158	0.6814517746
159	0.681436998
160	0.6814300092
161	0.6814198556
162	0.6814140841
163	0.6814057126
164	0.6813926112
165	0.6813848913
166	0.6813808647
167	0.6813590038
168	0.6813521299
169	0.6813439738
170	0.6813365975
171	0.6813272701
172	0.6813208562
173	0.6813151657
174	0.681309116
175	0.68130243
176	0.6812919417
177	0.6812829052
178	0.6812740141
179	0.6812660898
180	0.6812577926
181	0.6812513217
182	0.6812440999
183	0.681236763
184	0.6812293189
185	0.6812226976
186	0.6812158847
187	0.6812109162
188	0.6811921172
189	0.6811852635
190	0.681175799
191	0.6811691011
192	0.6811627296
193	0.6811565284
194	0.6811472365
195	0.681138903
196	0.681131773
197	0.6811243041
198	0.6811189984
199	0.6811113841
200	0.6811058444
201	0.6811025193
202	0.6810969654
203	0.6810918856
204	0.681083585
205	0.6810740135
206	0.6810676792
207	0.6810617274
208	0.6810543572
209	0.6810483172
210	0.6810422939
211	0.6810354902
212	0.6810307378
213	0.6810243003
214	0.6810185711
215	0.6810102193
216	0.681004957
217	0.6809983256
218	0.6809958545
219	0.680989821
220	0.6809845236
221	0.6809781932
222	0.6809700429
223	0.6809630755
224	0.6809573193
225	0.6809523301
226	0.6809454905
227	0.6809431389
228	0.6809364201
229	0.6809301564
230	0.6809233121
231	0.6809165796
232	0.6809104281
233	0.6809063653
234	0.6808990584
235	0.6808939959
236	0.6808852179
237	0.6808803878
238	0.6808767717
239	0.6808674231
240	0.6808607123
241	0.6808505567
242	0.6808473783
243	0.6808405703
244	0.6808350734
245	0.6808304919
246	0.6808228409
247	0.6808178023
248	0.6808116518
249	0.6808044804
250	0.6807972602
251	0.6807918194
252	0.6807846816
253	0.6807786195
254	0.680774758
255	0.6807682248
256	0.6807617115
257	0.6807553643
258	0.6807515785
259	0.680742968
260	0.6807339492
261	0.6807262224
262	0.6807156429
263	0.6807088072
264	0.6807002189
265	0.6806925475
266	0.6806871766
267	0.6806812973
268	0.680676227
269	0.6806684641
270	0.6806608
271	0.680652796
272	0.6806464959
273	0.6806355076
274	0.6806172663
275	0.6806101392
276	0.6806013505
277	0.6805900181
278	0.6805804795
279	0.6805703112
280	0.6805628179
281	0.6805561231
282	0.6805482162
283	0.6805377767
284	0.6805319057
285	0.6805244311
286	0.6805164556
287	0.6805081183
288	0.680503935
289	0.6804965785
290	0.6804902906
291	0.6804832106
292	0.6804768108
293	0.6804695748
294	0.6804625536
295	0.6804539314
296	0.6804457136
297	0.6804389504
298	0.6804314444
299	0.6804176747
300	0.6804038858
301	0.6803949431
302	0.6803889922
303	0.6803798113
304	0.6803692449
305	0.6803611638
306	0.6803537601
307	0.6803441784
308	0.6803366158
309	0.6803297696
310	0.6803214836
311	0.6803107797
312	0.6803005628
313	0.680292877
314	0.6802864157
315	0.6802786346
316	0.6802680639
317	0.6802608014
318	0.6802520179
319	0.6802440666
320	0.680230079
321	0.6802194779
322	0.6802120498
323	0.680206757
324	0.6802008814
325	0.6801911562
326	0.6801842692
327	0.6801770988
328	0.6801691193
329	0.6801600357
330	0.6801553467
331	0.6801425782
332	0.6801355055
333	0.6801282965
334	0.6801191447
335	0.6801127331
336	0.6801018747
